"TownID","TownCode","TownName","summ","sum14belo","sum15to64","sum65abov","EDR","AgedR","AgIndex"
"G01","1000201","宜蘭市",95977,13608,69153,13216,0.191112460775382,0.13769965720954,0.97119341563786
"G06","1000202","羅東鎮",72469,12034,50428,10007,0.198441342111525,0.138086630145304,0.83156057836131
"G03","1000205","礁溪鄉",35830,3773,26250,5807,0.221219047619048,0.162070890315378,1.53909355950172
"G05","1000207","員山鄉",32301,3174,24091,5036,0.209040720601054,0.155908485805393,1.58664146187776
"G08","1000208","冬山鄉",53348,6279,39275,7794,0.198446849140675,0.14609732323611,1.24128045867176
"G10","1000210","三星鄉",21412,1871,15566,3975,0.255364255428498,0.185643564356436,2.12453233564939
"G11","1000211","大同鄉",6098,1143,4388,567,0.129216043755697,0.0929813053460151,0.496062992125984
"G02","1000204","頭城鎮",29613,3263,21473,4877,0.227122432822614,0.164691182926417,1.49463683726632
"G04","1000206","壯圍鄉",24207,2251,18160,3796,0.209030837004405,0.156814144668897,1.68636161705908
"G12","1000212","南澳鄉",5891,1180,4202,509,0.121132793907663,0.0864029876082159,0.43135593220339
"G07","1000209","五結鄉",39643,3702,29998,5943,0.19811320754717,0.149912973286583,1.60534846029173
"G09","1000203","蘇澳鎮",40416,4328,29036,7052,0.242870918859347,0.174485352335709,1.62939001848429
"","","宜蘭縣",457205,56606,332020,68579,0.206550810192157,0.149996172395315,1.21151468042257
